time,vel_sp,vel,theta,acc_sp,acc
0,0,0,-1,-0.052101672816955,0
0.02,0,-0.000386590454808146,-0.99568153946349,-0.052101672816955,-0.0214228977948344
0.04,0,-0.000812544003319649,-0.9825822373162,-0.0174640130679157,-0.0210721989370571
0.06,0,-0.00122759906407897,-0.960815724321843,0.0177921168325061,-0.0202798818522334
0.08,0,-0.00162259666919012,-0.930587619083422,0.0177921168325061,-0.0190090662522515
0.1,0,-0.00198778647889053,-0.892191347908437,0.0525597854171983,-0.0172820559971021
0.12,0,-0.0023162180688432,-0.846004168452252,0.0860231192428993,-0.0153272146719939
0.14,0,-0.00260316032430914,-0.792477061862832,0.0860231192428993,-0.0131242352907645
0.16,0,-0.00284607420432122,-0.732128083683307,0.1174631014286,-0.0109592397382401
0.18,0,-0.00304526759881809,-0.665529633142347,0.14627769130097,-0.00872939710363938
0.2,0,-0.00320082207838802,-0.593303872209103,0.14627769130097,-0.00665102412897587
0.22,0,-0.00331531057034248,-0.516112885055754,0.171955510161357,-0.00457888408749472
0.24,0,-0.00338921273236078,-0.434655137394029,0.194066502868422,-0.00266797798777092
0.26,0,-0.00342591888783519,-0.349657260601399,0.194066502868422,-0.00078399175466938
0.28,0,-0.00342486271794165,-0.261870963081948,0.21225320110936,0.00101738766735999
0.3,0,-0.00338943090120039,-0.172066842725346,0.226207378880594,0.00273025072934958
0.32,0,-0.00331903895064687,-0.0810275340272662,0.226207378880594,0.00443037420813693
0.34,0,-0.00321663703819761,0.0104559749950628,0.23569445608455,0.00599176135492875
0.36,0,-0.00308213920205582,0.101593964828938,0.240567686279432,0.00757055287432682
0.38,0,-0.00291833952199436,0.191600462342544,0.240567686279432,0.00896525005257554
0.4,0,-0.00272556161714066,0.279704082688751,0.2407576158454,0.0104260424063974
0.42,0,-0.00250601317938124,0.365148472640098,0.236269355417279,0.0116430700511002
0.44,0,-0.00226141592803328,0.447205444718057,0.236269355417279,0.0129369975474578
0.46,0,-0.00199294237306927,0.525173730683785,0.227210125322011,0.0139815110508319
0.48,0,-0.00170369154664392,0.59839150010283,0.213768514637015,0.01505538121728
0.5,0,-0.00139464807882909,0.666236451281528,0.213768514637015,0.0158790008264179
0.52,0,-0.00107002661712378,0.728136323667552,0.19620995863813,0.0166826389759797
0.54,0,-0.00073028669802325,0.783569352431562,0.174887279556186,0.0172770020617421
0.56,0,-0.000380947935426736,0.832072052675358,0.174887279556186,0.0177253012541169
0.58,0,-2.27139049840275e-05,0.873242716054216,0.150239233514213,0.0180593970233441
0.6,0,0.000339196233149117,0.906741624097542,0.122744071239096,0.0181442065884946
0.62,0,0.00070296905880759,0.932299524759461,0.122744071239096,0.0181819844829205
0.64,0,0.00106446028816608,0.949715808391385,0.0929591060501772,0.0179403062924104
0.66,0,0.00142137681460466,0.958863416868509,0.0614818069960663,0.0176857334333694
0.68,0,0.00177021611979278,0.95968402378984,0.0614818069960663,0.0171241247834018
0.7,0,0.00210794080957289,0.952194697493828,0.028926572578121,0.0165697269737683
0.72,0,0.00243194418538304,0.936481220968625,-0.00407405339095455,0.0157108256913018
0.74,0,0.00273845737291557,0.91270370226406,-0.00407405339095455,0.0148470799327616
0.76,0,0.00302561759954105,0.881089345675059,-0.0368658697366442,0.0137083551130545
0.78,0,0.00328933608657803,0.841935625993948,-0.0688050471110105,0.0125665638823075
0.8,0,0.00352916075606492,0.795602528132368,-0.0688050471110105,0.0112232600838229
0.82,0,0.00374088507032066,0.742512824512294,-0.0992802107820404,0.00983787790082706
0.84,0,0.00392477161842301,0.683146114674574,-0.127698085043611,0.00834445669533452
0.86,0,0.0040771671281856,0.618035080648473,-0.127698085043611,0.0067707184041325
0.88,0,0.00419887639237289,0.54776136104085,-0.153508613982256,0.00519229169065615
0.9,0,0.00428717165585732,0.472948004996435,-0.176229330876401,0.00349777085344126
0.92,0,0.0043428594204212,0.39425754966168,-0.176229330876401,0.00187436290650363
0.94,0,0.00436435564318785,0.31238185937433,-0.195431738172448,0.000124427663161628
0.96,0,0.00435250871728222,0.228041002558775,-0.210751033612711,-0.00148698931928598
0.98,0,0.00430688782893327,0.141971411347017,-0.210751033612711,-0.0032403067503933
1,0,0.00422788632063308,0.0549260106263325,-0.221907286063125,-0.00480791198994795
1.02,0,0.00410791502849562,-0.0323365238667081,-0.228644184306255,-0.0100358681683044
1.04,0,0.00365674428445219,-0.118803841121053,-0.228644184306255,-0.0418344476579387
1.06,0,0.00252299373746396,-0.20253020875953,-0.226026819983966,-0.0734888180443711
1.08,0,0.000704097088745899,-0.281331823559316,-0.20873589610536,-0.115111092411077
1.1,0,-0.00194800522727465,-0.35278980197566,-0.20873589610536,-0.150070359918391
1.12,2,-0.0052176718610181,-0.414680529400034,1.81148426959627,-0.181279394230253
1.14,2,-0.00835940198913342,-0.465489155704035,1.86175253916106,-0.0619914029115926
1.16,2,-0.00681356396638125,-0.509987622426757,1.86175253916106,0.228410226803321
1.18,2,6.54944766491697e-05,-0.560045669454824,1.85264225677684,0.503941904284481
1.2,2,0.0138939017828892,-0.628532959760971,1.75215640070846,0.881532333978287
1.22,2,0.0339642676281141,-0.73097462895507,1.75215640070846,1.13502378526903
1.24,2,0.0597371697720623,-0.879389369958593,1.55427063745394,1.44488008249455
1.26,2,0.0901801803960033,-1.08555569244426,1.2743538186536,1.58442176957884
1.28,2,0.123407735152881,-1.35565525197905,1.2743538186536,1.74971037317888
1.3,2,0.158691916019038,-1.69398920321058,0.950731432380408,1.74699423568465
1.32,2,0.193502229332692,-2.09909435443362,0.623260987903915,1.74594045219574
1.34,2,0.227637860530526,-2.56692079752153,0.623260987903915,1.622782814647
1.36,2,0.258579849089289,-3.08898795995299,0.32515304900833,1.47528830475972
1.38,2,0.286659540085841,-3.65419375120082,0.09178473040181,1.27642474835395
1.4,2,0.309825206537756,-4.24922997798006,0.09178473040181,1.0357951929997
1.42,2,0.328863687239644,-4.85866469206143,-0.0504032965243142,0.814995812728689
1.44,2,0.342565455739609,-5.46732148744499,-0.0941647543259274,0.544865969792122
1.46,2,0.351938917672083,-6.05877106455223,-0.0941647543259274,0.35755958018072
