time,vel_sp,vel,theta,acc_sp,acc
0,0,0,-1,-0.0589645692185587,0
0.02,0,-0.00116299738740164,-0.998861024451161,-0.0589645692185587,-0.0647439611973223
0.04,0,-0.00245875157512895,-0.99531840839595,-0.0491517930652723,-0.0647374248663298
0.06,0,-0.00374754867529325,-0.989368560760953,-0.0387114929651079,-0.0638845307687784
0.08,0,-0.00500939212999,-0.981023331017539,-0.0387114929651079,-0.0619059452571451
0.1,0,-0.00622170467450496,-0.970309860069844,-0.0281011072886633,-0.058881619920218
0.12,0,-0.00736671425580352,-0.95727003381866,-0.01751824586397,-0.0551702738588227
0.14,0,-0.008435151436598,-0.941956949749178,-0.01751824586397,-0.0512801455033841
0.16,0,-0.00942482408836526,-0.924430351398122,-0.00709196013618711,-0.047280719962091
0.18,0,-0.0103366713959754,-0.904754716307552,0.00312066038635779,-0.0436203298656823
0.2,0,-0.0111776894890781,-0.882995928508615,0.00312066038635779,-0.0401336072594002
0.22,0,-0.0119515648261801,-0.859221283274274,0.0131129033531424,-0.0370507780181717
0.24,0,-0.0126675322866712,-0.833498228280632,0.0228898652398582,-0.0342601719037091
0.26,0,-0.0133286965541408,-0.805894536864027,0.0228898652398582,-0.0316742049140389
0.28,0,-0.0139414414497049,-0.776479328981635,0.0324543439351675,-0.0293655490483977
0.3,0,-0.0145080190525669,-0.745322557765509,0.0418030636906714,-0.027114454049324
0.32,0,-0.0150319859081276,-0.712496323762525,0.0418030636906714,-0.0250475963228324
0.34,0,-0.0155125030028533,-0.678074606118123,0.0509180750934935,-0.0227877479263058
0.36,0,-0.0159494131834842,-0.642135385010787,0.059759179361213,-0.0206788552844511
0.38,0,-0.0163417222237834,-0.604759035781377,0.059759179361213,-0.0182809087924945
0.4,0,-0.0166865951499322,-0.566030447691196,0.068283417453226,-0.0159905527065218
0.42,0,-0.0169841413477311,-0.526037114931136,0.0764423952433536,-0.0134593636582609
0.44,0,-0.0172307605174029,-0.484870460527057,0.0764423952433536,-0.0109827962523159
0.46,0,-0.0174271477070259,-0.44262452602007,0.0841844388898466,-0.00833144512130609
0.48,0,-0.0175698083532284,-0.399396566397738,0.0914640987626647,-0.00571637981705845
0.5,0,-0.0176604118540329,-0.355286064785162,0.0914640987626647,-0.00300644195109735
0.52,0,-0.0176952901868276,-0.310394902235495,0.0982418985957556,-0.000252106481996902
0.54,0,-0.0176763193877712,-0.264827208377566,0.104474674778335,0.00246943421578243
0.56,0,-0.0176014072258871,-0.218688393366333,0.104474674778335,0.00526086649100591
0.58,0,-0.0174724328800479,-0.172085598380052,0.11012800619923,0.0079293509481634
0.6,0,-0.0172887566528429,-0.125126287631782,0.115176395949434,0.0106965284130143
0.62,0,-0.0170512029890553,-0.0779193167853302,0.115176395949434,0.0133229696607366
0.64,0,-0.0167604440811459,-0.0305734612140944,0.119592123997893,0.0160091748828607
0.66,0,-0.0164173143703416,0.0168019099114439,0.123353277707028,0.0185481947864143
0.68,0,-0.0160229748209221,0.0640979700095104,0.123353277707028,0.0211388909849301
0.7,0,-0.015578132761138,0.11120578059628,0.12644297589236,0.0235580306260251
0.72,0,-0.0150852331957934,0.158017588319167,0.128849213799857,0.025981241496999
0.74,0,-0.0145447401265609,0.204426289618919,0.128849213799857,0.0282501191814012
0.76,0,-0.0139600042924427,0.250326343815673,0.130562057009926,0.0304626694558994
0.78,0,-0.0133311164724908,0.295613612366257,0.131578290267255,0.0325964253300011
0.8,0,-0.0126612246099206,0.340185468354429,0.131578290267255,0.0346067635768895
0.82,0,-0.0119509235191556,0.383941369546749,0.131896284278577,0.0365818667118334
0.84,0,-0.0112032379570783,0.426782527717683,0.131515494361568,0.0383628660121024
0.86,0,-0.010419709561445,0.468613016173015,0.131515494361568,0.0401399513882159
0.88,0,-0.00960245791268375,0.509338935100862,0.130442405298445,0.0417385400801363
0.9,0,-0.00875306591162505,0.548869372701468,0.128684163764109,0.0433425268462543
0.92,0,-0.00787335715511975,0.587115698913199,0.128684163764109,0.0447416976742723
0.94,0,-0.00696596628476518,0.623992792831405,0.126249072001213,0.0461354248469538
0.96,0,-0.00603200270125354,0.659418292713561,0.123149755361332,0.0473424466989249
0.98,0,-0.00507484540406183,0.693313541990248,0.123149755361332,0.0484949049007718
1,0,-0.00409508504575799,0.725603210654888,0.119404787115471,0.0495495481641961
1.02,0,-0.00309023579149945,0.756215123063105,0.115017448979697,0.0527840799450265
1.04,0,-0.00186946026317572,0.78504428231676,0.115017448979697,0.0737019371394853
1.06,0,-0.000209369547256105,0.81185109125418,0.10895230855032,0.0932826541751045
1.08,0,0.0018742984327192,0.836369526590985,0.10013844247559,0.119375330221118
1.1,0,0.00447373572240904,0.858300973553608,0.10013844247559,0.140242354962955
1.12,2,0.00744021915482818,0.877376807136282,2.50995629178603,0.16004814706741
1.14,2,0.0120213378237595,0.893206615707659,2.51206245530752,0.384973156629277
1.16,2,0.0242898013531709,0.903505058011887,2.51206245530752,0.837901873987791
1.18,2,0.0450324032923114,0.9039399905808,2.47815411027193,1.26135117838245
1.2,2,0.0760025190779211,0.889971670330462,2.39521257227459,1.80756496578733
1.22,2,0.116095755708641,0.856369024120803,2.39521257227459,2.1812907017079
1.24,2,0.164342582149003,0.798961651891425,2.26189814358545,2.61934986491235
1.26,2,0.21940230462632,0.713657192835905,2.08514634064122,2.83697614786905
1.28,2,0.278830645218453,0.59789427114425,2.08514634064122,3.08680545628063
1.3,2,0.341865608252898,0.449545744533972,1.87998471454414,3.13446356333112
1.32,2,0.405398464047642,0.267932277416893,1.66048819394619,3.18883584637514
1.34,2,0.469423356255939,0.0529411092629188,1.66048819394619,3.10462098516189
1.36,2,0.530882721773586,-0.194498022087286,1.43737071958911,2.99457328037041
1.38,2,0.590322804255055,-0.472844511043786,1.22265858767327,2.82910943444024
1.4,2,0.645204490314583,-0.780046743336234,1.22265858767327,2.60663292777538
1.42,2,0.696413476194996,-1.11343892350532,1.0257382403736,2.40554761453359
1.44,2,0.742215766052184,-1.47034700113323,0.849954204950973,2.12199258642602
1.46,2,0.783452000037016,-1.84751122089692,0.849954204950973,1.92313056728195
1.48,2,0.819412631882664,-2.24205359332703,0.698365146507933,1.62266239179908
1.5,2,0.850544610253196,-2.65056445135963,0.573728317546852,1.4445090455982
1.52,2,0.877117518237266,-3.07023596547524,0.573728317546852,1.16499816330436
1.54,2,0.899050504493917,-3.49783552173785,0.474026621215586,1.01138650777236
1.56,2,0.917420161830873,-3.93076793729434,0.396822690585018,0.777023911375521
1.58,2,0.931605948824401,-4.36617928348211,0.396822690585018,0.645910556267567
1.6,2,0.943225434107177,-4.80173930360939,0.341922831566991,0.468335916617213
1.62,2,0.951287201670634,-5.23506343978966,0.30650408634498,0.35287896150535
1.64,2,0.957601936505473,-5.66408395005935,0.30650408634498,0.235834310785326
1.66,2,0.961089745149109,-6.08690126444326,0.286686846233328,0.130170960549742
1.68,2,0.96341492136571,-6.50169098748527,0.281735132916783,0.0684753618987959
1.7,2,0.963684901527079,-6.90699798361646,0.281735132916783,-0.0290522894992089
1.72,2,0.963142427192685,-7.30122718526952,0.290091679964315,-0.046358967086089
1.74,2,0.961315492540723,-7.68329474109418,0.308213174697971,-0.133344558673112
1.76,2,0.958850084652951,-8.05183602225201,0.308213174697971,-0.120001611396266
1.78,2,0.955822656494745,-8.40605496589456,0.335202871995817,-0.191072972724671
1.8,2,0.952227596548116,-8.74482971993941,0.370813610022407,-0.161469047394209
1.82,2,0.948691730110654,-9.06756894531,0.370813610022407,-0.210731489788728
1.84,2,0.944642243138281,-9.37340693756478,0.412311618282107,-0.177047232477085
1.86,2,0.941130550556935,-9.6618911715651,0.458410441201435,-0.198972612887097
1.88,2,0.937209193554487,-9.93242392539315,0.458410441201435,-0.170958258797299
1.9,2,0.934138037120457,-10.1846440548452,0.509565479199154,-0.162764496904004
1.92,2,0.930836312544864,-10.4182174960717,0.563958422364915,-0.144994139554886
1.94,2,0.928534201960156,-10.6328519680974,0.563958422364915,-0.108634504839207
1.96,2,0.92627222173444,-10.8284556527638,0.619856584575778,-0.100447016498244
1.98,2,0.925011161322325,-11.0048051209911,0.677835645514735,-0.0409222993580138
2,2,0.924128285510673,-11.1620140244916,0.677835645514735,-0.0394509987472852
2.02,2,0.924140842923845,-11.2999413582093,0.737016195866016,0.0356762396309708
2.04,2,0.92488785750793,-11.4188572702759,0.795449006140968,0.0371845439018123
2.06,2,0.926385610198873,-11.5187296777582,0.795449006140968,0.117618016797054
2.08,2,0.928940612382687,-11.5999321750213,0.853440546226677,0.126680985791604
2.1,2,0.932099643776973,-11.6625659910954,0.910961372341976,0.203320971718692
2.12,2,0.936566894596447,-11.7070586825503,0.910961372341976,0.225142009109117
2.14,2,0.941542745187299,-11.7336582890826,0.966203598291121,0.291507431782938
2.16,2,0.947962061738229,-11.7428114606263,1.01901793900138,0.329841283872369
2.18,2,0.954877198501724,-11.7349207004812,1.01901793900138,0.380978134957383
2.2,2,0.963241222777234,-11.7104282028408,1.06998855672645,0.436457675868983
2.22,2,0.972166374264232,-11.6698757532419,1.11777121587478,0.472003533879543
2.24,2,0.982437668249256,-11.6136973168794,1.11777121587478,0.540961403170079
2.26,2,0.993401440239933,-11.5425461647042,1.16175183427406,0.564251083468651
2.28,2,1.00551938301868,-11.4568581364785,1.2028131773348,0.640980531311689
2.3,2,1.01849894048178,-11.3573618185457,1.2028131773348,0.65647974420496
2.32,2,1.03239069843564,-11.2445125714418,1.24026146671334,0.734105397239875
2.34,2,1.0473061111415,-11.1190719330922,1.2731547650087,0.748088975299955
2.36,2,1.06290008297407,-10.981535593278,1.2731547650087,0.818767003431318
2.38,2,1.07962843330527,-10.8326574294851,1.30234570843848,0.83738212219271
2.4,2,1.09684148650901,-10.6729934582039,1.32782962949277,0.895147823314533
2.42,2,1.11522624433407,-10.5032594137198,1.32782962949277,0.921907932529617
2.44,2,1.13396876765406,-10.3240769262947,1.34856119554569,0.96348010511516
2.46,2,1.15382651870221,-10.1361049547763,1.36510950888018,0.999825616615786
2.48,2,1.17399614528547,-9.94002779485277,1.36510950888018,1.02426326782661
2.5,2,1.19513221063623,-9.7364421379013,1.37805340441308,1.06895233620979
2.52,2,1.21660162906243,-9.52607845553265,1.38650533921645,1.07840112695707
2.54,2,1.23882258417349,-9.3094786579082,1.38650533921645,1.12748952955908
