time,vel_sp,vel,theta,acc_sp,acc
0,0,0,-1,-6.88087802052805e-05,0
0.02,0,-0.00116299738740164,-0.998861024451161,-6.88087802052805e-05,-0.0647439611973223
0.04,0,-0.00245875157512895,-0.99531840839595,-0.000119190743270217,-0.0647374248663298
0.06,0,-0.00374754867529325,-0.989368560760953,5.41774735411553e-06,-0.0638845307687784
0.08,0,-0.00500939212999,-0.981023331017539,5.41774735411553e-06,-0.0619059452571451
0.1,0,-0.00622170467450496,-0.970309860069844,0.000473887539415466,-0.058881619920218
0.12,0,-0.00736671425580352,-0.95727003381866,0.00142766652754715,-0.0551702738588227
0.14,0,-0.008435151436598,-0.941956949749178,0.00142766652754715,-0.0512801455033841
0.16,0,-0.00942482408836526,-0.924430351398122,0.00295673559785924,-0.047280719962091
0.18,0,-0.0103366713959754,-0.904754716307552,0.00508988766133972,-0.0436203298656823
0.2,0,-0.0111776894890781,-0.882995928508615,0.00508988766133972,-0.0401336072594002
0.22,0,-0.0119515648261801,-0.859221283274274,0.0077965832977023,-0.0370507780181717
0.24,0,-0.0126675322866712,-0.833498228280632,0.0109965644312685,-0.0342601719037091
0.26,0,-0.0133286965541408,-0.805894536864027,0.0109965644312685,-0.0316742049140389
0.28,0,-0.0139414414497049,-0.776479328981635,0.014573775454563,-0.0293655490483977
0.3,0,-0.0145080190525669,-0.745322557765509,0.0183918091000174,-0.027114454049324
0.32,0,-0.0150319859081276,-0.712496323762525,0.0183918091000174,-0.0250475963228324
0.34,0,-0.0155125030028533,-0.678074606118123,0.0223085443907934,-0.0227877479263058
0.36,0,-0.0159494131834842,-0.642135385010787,0.0261882553634343,-0.0206788552844511
0.38,0,-0.0163417222237834,-0.604759035781377,0.0261882553634343,-0.0182809087924945
0.4,0,-0.0166865951499322,-0.566030447691196,0.0299107508367098,-0.0159905527065218
0.42,0,-0.0169841413477311,-0.526037114931136,0.0333772654249534,-0.0134593636582609
0.44,0,-0.0172307605174029,-0.484870460527057,0.0333772654249534,-0.0109827962523159
0.46,0,-0.0174271477070259,-0.44262452602007,0.0365132343574371,-0.00833144512130609
0.48,0,-0.0175698083532284,-0.399396566397738,0.0392685468198651,-0.00571637981705845
0.5,0,-0.0176604118540329,-0.355286064785162,0.0392685468198651,-0.00300644195109735
0.52,0,-0.0176952901868276,-0.310394902235495,0.0416158523873682,-0.000252106481996902
0.54,0,-0.0176763193877712,-0.264827208377566,0.0435472548168414,0.00246943421578243
0.56,0,-0.0176014072258871,-0.218688393366333,0.0435472548168414,0.00526086649100591
0.58,0,-0.0174724328800479,-0.172085598380052,0.0450702111740809,0.0079293509481634
0.6,0,-0.0172887566528429,-0.125126287631782,0.0462032372338833,0.0106965284130143
0.62,0,-0.0170512029890553,-0.0779193167853302,0.0462032372338833,0.0133229696607366
0.64,0,-0.0167604440811459,-0.0305734612140944,0.0469716050671813,0.0160091748828607
0.66,0,-0.0164173143703416,0.0168019099114439,0.0474034874300848,0.0185481947864143
0.68,0,-0.0160229748209221,0.0640979700095104,0.0474034874300848,0.0211388909849301
0.7,0,-0.015578132761138,0.11120578059628,0.0475267999468697,0.0235580306260251
0.72,0,-0.0150852331957934,0.158017588319167,0.0473668766958999,0.025981241496999
0.74,0,-0.0145447401265609,0.204426289618919,0.0473668766958999,0.0282501191814012
0.76,0,-0.0139600042924427,0.250326343815673,0.0469449426004775,0.0304626694558994
0.78,0,-0.0133311164724908,0.295613612366257,0.046277436713244,0.0325964253300011
0.8,0,-0.0126612246099206,0.340185468354429,0.046277436713244,0.0346067635768895
0.82,0,-0.0119509235191556,0.383941369546749,0.0453759851665257,0.0365818667118334
0.84,0,-0.0112032379570783,0.426782527717683,0.0442478404871225,0.0383628660121024
0.86,0,-0.010419709561445,0.468613016173015,0.0442478404871225,0.0401399513882159
0.88,0,-0.00960245791268375,0.509338935100862,0.042896771427914,0.0417385400801363
0.9,0,-0.00875306591162505,0.548869372701468,0.0413241349093119,0.0433425268462543
0.92,0,-0.00787335715511975,0.587115698913199,0.0413241349093119,0.0447416976742723
0.94,0,-0.00696596628476518,0.623992792831405,0.0395299673116196,0.0461354248469538
0.96,0,-0.00603200270125354,0.659418292713561,0.0375140533603901,0.0473424466989249
0.98,0,-0.00507484540406183,0.693313541990248,0.0375140533603901,0.0484949049007718
1,0,-0.00409508504575799,0.725603210654888,0.0352769553638394,0.0495495481641961
1.02,0,-0.00309431053196097,0.75621539424039,0.0328206545677413,0.0511112180500697
1.04,0,-0.00201894589306807,0.785071761561955,0.0328206545677413,0.0577540396051158
1.06,0,-0.000805445628476263,0.812057596584389,0.0301412314485234,0.0639213379443775
1.08,0,0.000540360042630656,0.837053422775386,0.0272189483332329,0.0719417908784653
1.1,0,0.00204353995714519,0.85993282048906,0.0272189483332329,0.0783257648573303
1.12,2,0.00365971672641529,0.880581392557583,0.697396123491035,0.0844393340414226
1.14,2,0.00572174403743007,0.898856877513324,1.13272099887244,0.14888091424417
1.16,2,0.00994331061696454,0.914080933441287,1.13272099887244,0.286763193135146
1.18,2,0.0172791843863085,0.924851594661836,1.38727842549329,0.480417069892935
1.2,2,0.0292240899150212,0.929191493800838,1.50577157934808,0.729518021805358
1.22,2,0.0461480884522961,0.924594043118352,1.50577157934808,0.982587531773966
1.24,2,0.0684791900560461,0.908435135820943,1.52481672713043,1.25614006872053
1.26,2,0.0958504177977968,0.877990887507332,1.47402156124445,1.4827930938145
1.28,2,0.127723521701467,0.830886397570952,1.47402156124445,1.70092688247743
1.3,2,0.163318482455374,0.76499533051208,1.37694968298457,1.84540889267464
1.32,2,0.201538172650141,0.678804937248148,1.25200972363161,1.96564703628793
1.34,2,0.241558009817385,0.57122984202688,1.25200972363161,2.01199572668168
1.36,2,0.282126668800076,0.441836944067998,1.11326649769263,2.02739809021431
1.38,2,0.322606818666825,0.290654474201065,0.971187264080618,1.9864953992541
1.4,2,0.361850588242098,0.118244231853498,0.971187264080618,1.91639001788476
1.42,2,0.399526034467687,-0.0744312898222075,0.833325218139259,1.81300186725707
1.44,2,0.434752076337863,-0.28606719653782,0.704916868296684,1.68509099351475
1.46,2,0.46744915778148,-0.515057765600399,0.704916868296684,1.54980707376325
1.48,2,0.497100956438077,-0.759656517365154,0.589387857913805,1.39151278114919
1.5,2,0.523783729715267,-1.01791209483654,0.488796931037712,1.24812500693175
1.52,2,0.54732453263391,-1.28790091402869,0.488796931037712,1.08515542460809
1.54,2,0.567865921248209,-1.56757926105626,0.404184760705377,0.948751201758289
1.56,2,0.585523973890248,-1.85503620659811,0.335841474664835,0.797940665903967
1.58,2,0.600404987462845,-2.14831253945956,0.335841474664835,0.67840163043518
1.6,2,0.612853517874535,-2.4456293032536,0.283517782047178,0.549283558587565
1.62,2,0.622901685457988,-2.74521733907686,0.246584753101794,0.44948433397416
1.64,2,0.631020626948103,-3.04548767698134,0.246584753101794,0.347524224374953
1.66,2,0.637181371216546,-3.34491303291723,0.224143667314713,0.266527002106083
1.68,2,0.641898220197042,-3.64211188334125,0.215109183738014,0.192519401218815
1.7,2,0.645111876413531,-3.93581249937887,0.215109183738014,0.129021287873012
1.72,2,0.647306536702558,-4.22484049656298,0.218275413146715,0.0808845158940328
1.74,2,0.648442469037676,-4.50816938074926,0.232358783549591,0.0333282202552798
1.76,2,0.648911702161412,-4.78482367247623,0.232358783549591,0.00765397452783537
1.78,2,0.648740438662335,-5.05400065671284,0.256030477430252,-0.0249777421723005
1.8,2,0.648186607344395,-5.3149144920461,0.287949785379834,-0.0323236597197108
1.82,2,0.647371361097027,-5.5669594486488,0.287949785379834,-0.0508802855450728
1.84,2,0.646407811789799,-5.80952975018466,0.326787732967847,-0.0439513072482473
1.86,2,0.645509745137997,-6.04218911679076,0.371243404681656,-0.0485627851423505
1.88,2,0.644665232972856,-6.26450262595995,0.371243404681656,-0.0319578745149128
1.9,2,0.644156631831773,-6.47617585876078,0.420064535962501,-0.0225868782427035
1.92,2,0.643876833647056,-6.6769354682312,0.472064234931293,0.000471279379017272
1.94,2,0.644144983195819,-6.86660670566234,0.472064234931293,0.0221950605433441
1.96,2,0.644803359285538,-7.045062445686,0.526129370827845,0.0497008719521468
1.98,2,0.646152331116728,-7.21222865197285,0.581231827136247,0.0821658415149188
2,2,0.64804425286519,-7.36810490327056,0.581231827136247,0.111698705619553
2.02,2,0.650708793126363,-7.51270065662842,0.636439556102583,0.153072307490306
2.04,2,0.654049195382559,-7.64612194457828,0.690918643389106,0.184193337036293
2.06,2,0.658201856918031,-7.76845148283468,0.690918643389106,0.230725369881353
2.08,2,0.663139384854949,-7.87987570716288,0.743935328534376,0.263803906011886
2.1,2,0.668885141650453,-7.98054065299373,0.794860393207917,0.312411590033738
2.12,2,0.675498258820395,-8.07068914690314,0.794860393207917,0.346834205697271
2.14,2,0.682889782546309,-8.15052102292857,0.843166350870299,0.395102991768781
2.16,2,0.691190444903496,-8.22031442973311,0.88842208949666,0.431250656744618
2.18,2,0.700236500195856,-8.28031590755427,0.88842208949666,0.47608023228901
2.2,2,0.710191814842916,-8.33081782458198,0.930291290898598,0.514242812714242
2.22,2,0.720851670158591,-8.37210420757028,0.968526652982473,0.554060913782567
2.24,2,0.732384660393858,-8.40446973183196,0.968526652982473,0.593058838998982
2.26,2,0.744582909159716,-8.4282243210076,1.00296000040094,0.62750935278208
2.28,2,0.757581769497996,-8.44365579126234,1.03349682423231,0.666391972605012
2.3,2,0.771216202572023,-8.45108866437248,1.03349682423231,0.695081891639502
2.32,2,0.785549498905585,-8.45079916616667,1.06010987802591,0.732705832166244
2.34,2,0.800486910634855,-8.44311511932224,1.08282802410414,0.756443758986102
2.36,2,0.816011718908611,-8.42830149595586,1.08282802410414,0.790828840474037
2.38,2,0.832102495185675,-8.40667697057703,1.10172869887025,0.810984599260378
2.4,2,0.848664738877232,-8.37849841236218,1.11693256796604,0.840666107903599
2.42,2,0.865750125372169,-8.34406550127152,1.11693256796604,0.858091398654099
2.44,2,0.883197852165162,-8.30362707707408,1.12859348567699,0.882064809777246
2.46,2,0.901108643695925,-8.25745738945429,1.13689061555755,0.89767103624301
2.48,2,0.919289597805016,-8.20579980205267,1.13689061555755,0.915137853775833
2.5,2,0.937859636892822,-8.14889811082335,1.14202487519991,0.929641217684695
2.52,2,0.956626766202778,-8.08699132648696,1.14421232487932,0.940659530395323
2.54,2,0.975696389415451,-8.02029378041419,1.14421232487932,0.953978154347411
2.56,2,0.994909980966308,-7.94903774581121,1.14367643218881,0.959325445697102
2.58,2,1.01432931148316,-7.87341276835685,1.14064540602787,0.971021613186535
2.6,2,1.0338564592381,-7.79364182642634,1.14064540602787,0.971842123224469
2.62,2,1.05349434480051,-7.70989337626441,1.13534830863299,0.981191427671284
2.64,2,1.07321109637604,-7.62237725894354,1.12800903036586,0.978820453263366
2.66,2,1.09294620344338,-7.53124885599968,1.12800903036586,0.985095218397626
2.68,2,1.11273593397868,-7.43670201070995,1.11884408293923,0.980931517646546
2.7,2,1.13246766615576,-7.33888515611232,1.10806125218797,0.983425913083591
2.72,2,1.15222492656242,-7.237972897596,1.10806125218797,0.978733481791955
2.74,2,1.17186619882488,-7.13411263177975,1.09585490963341,0.977079728490565
2.76,2,1.19150023045489,-7.02745975650103,1.08240376792431,0.972652394216607
2.78,2,1.21097950728029,-6.91816383333787,1.08240376792431,0.967057988297558
2.8,2,1.23041013026558,-6.8063627373549,1.0678722264219,0.96295124991206
2.82,2,1.24966597109528,-6.69220813577028,1.05240915412729,0.953869472046318
2.84,2,1.26882329389461,-6.57582322747843,1.05240915412729,0.950088162786309
2.86,2,1.28780243133341,-6.4573611126375,1.03614741706885,0.938292582887301
2.88,2,1.30663109672823,-6.33693539422821,1.01920756553284,0.934246428791328
2.9,2,1.32528647443968,-6.21469821212434,1.01920756553284,0.921183800963753
2.92,2,1.34374680107699,-6.09076026229444,1.00169933577769,0.9160375712652
2.94,2,1.36204209176521,-5.96526919857779,0.983721253688623,0.902673135073954
2.96,2,1.38010162317575,-5.83833725458123,0.983721253688623,0.895976544216377
2.98,2,1.39800322421523,-5.71010510094803,0.965363513918649,0.883080412037836
3,2,1.41564261211123,-5.5806898260784,0.94670987334192,0.874286089145445
3.02,2,1.43311906603244,-5.4502232292769,0.94670987334192,0.862694737720989
3.04,2,1.45032158198441,-5.31883037977097,0.927836227229184,0.851456371873901
3.06,2,1.46734963426658,-5.18663302356537,0.908811100641484,0.841321426196148
3.08,2,1.48410510695588,-5.05376369553284,0.908811100641484,0.828227296949609
3.1,2,1.50066798266616,-4.92033683732224,0.889696778979367,0.819145379257559
3.12,2,1.5169709671335,-4.786490739247,0.87054704927607,0.804711640636395
3.14,2,1.53305737541494,-4.65233526801327,0.87054704927607,0.796471568226438
3.16,2,1.54890427277766,-4.51801171152255,0.851405674532733,0.781196878858915
3.18,2,1.56450820705016,-4.38362772010847,0.832307609129601,0.772966261226009
3.2,2,1.57989145381157,-4.2493232192979,0.832307609129601,0.758021353846664
3.22,2,1.59501288820038,-4.11520805648686,0.813277927103957,0.749051683009475
3.24,2,1.60992998820655,-3.98141817040952,0.794330594259263,0.735049442853235
3.26,2,1.62457065662679,-3.84806797937867,0.794330594259263,0.725019050592073
3.28,2,1.63901796937828,-3.71528595977237,0.775470533301093,0.71220890797563
3.3,2,1.65318483774964,-3.58319128224128,0.756694964708603,0.700763381276232
3.32,2,1.66715690637513,-3.45190324109178,0.756694964708603,0.689535314260626
3.34,2,1.68085456748944,-3.32154566678972,0.737993454206661,0.676558368663319
3.36,2,1.69434924629107,-3.19222885659497,0.71935079000961,0.666697578785315
3.38,2,1.70758257124685,-3.0640791980243,0.71935079000961,0.652782855376388
3.4,2,1.72059818185675,-2.93719932475663,0.700750053422757,0.643588384326551
3.42,2,1.73337037327804,-2.81171438441306,0.682173361424354,0.629193574412058
3.44,2,1.74590507877319,-2.6877208920891,0.682173361424354,0.620248319706079
3.46,2,1.75821385222348,-2.56533859018077,0.663604078357875,0.605727593626623
3.48,2,1.77026755509803,-2.44465910013503,0.645030040060165,0.596409352577965
3.5,2,1.7821078511308,-2.32579342578671,0.645030040060165,0.582541456689216
3.52,2,1.79367941214533,-2.20883032502907,0.626444125579906,0.572092533623391
3.54,2,1.80504420204751,-2.0938682075853,0.607844808020267,0.559137501176648
3.56,2,1.8161310358619,-1.98099265759105,0.607844808020267,0.547493845373415
3.58,2,1.82700975066495,-1.87028793093661,0.589238320849405,0.535404623341094
3.6,2,1.8376098992452,-1.76183587715181,0.57063875421376,0.522431566899312
3.62,2,1.84799016528187,-1.65570566160611,0.57063875421376,0.511295176847833
3.64,2,1.85809765850725,-1.55197360560782,0.552067019163891,0.497010237378388
3.66,2,1.86796994485359,-1.45069411408525,0.533551583460413,0.486493817828506
3.68,2,1.87757746492878,-1.35193615249137,0.533551583460413,0.471546328591422
3.7,2,1.88693161171776,-1.25574145610434,0.515128265517393,0.460964554989373
3.72,2,1.89603197909528,-1.16216809884099,0.496838142165347,0.445768865152919
3.74,2,1.90485822642191,-1.07124691983415,0.496838142165347,0.434875392831739
3.76,2,1.91344105185699,-0.983022877857082,0.478727101639004,0.41979828071351
3.78,2,1.92173644291098,-0.897518004917113,0.460845495423714,0.40819238903146
3.8,2,1.92979296033137,-0.814762864570822,0.460845495423714,0.393879051091624
3.82,2,1.93755470621204,-0.734772756983905,0.443245743978235,0.381096475814083
3.84,2,1.9450792139444,-0.657562289314254,0.425980780932302,0.367742390266517
3.86,2,1.9523075847824,-0.583140956175254,0.425980780932302,0.354062669127504
3.88,2,1.95929655282497,-0.511508910175863,0.409103740494324,0.341613468804109
3.9,2,1.96599769960894,-0.442670453088275,0.392665811247143,0.327157066893899
3.92,2,1.97245046688784,-0.376612652448525,0.392665811247143,0.315618424518476
3.94,2,1.97863019885319,-0.313333751786298,0.376714232993842,0.300652967696945
3.96,2,1.98455361990419,-0.252810251418052,0.361292125299323,0.289711885241686
3.98,2,1.99021968501164,-0.195033631626232,0.361292125299323,0.274948255386081
4,2,1.99562296180713,-0.139973078762423,0.346437385235056,0.264042927839973
4.02,2,2.00078630302535,-0.0876114677211775,0.332180967579501,0.249878403306202
4.04,2,2.0056814027547,-0.0379130191751108,0.332180967579501,0.23892512470949
4.06,2,2.01035215240288,0.00914837249136339,0.318547195755996,0.22561211390748
4.08,2,2.01475720365984,0.0536112993807017,0.305554027860083,0.214413932015442
4.1,2,2.01894977185542,0.0955105795359184,0.305554027860083,0.202458488793583
4.12,2,2.02288676335222,0.134885211041226,0.293211993659998,0.190846319961175
4.14,2,2.02662016922077,0.171778139978367,0.281524603176016,0.180251423235187
4.16,2,2.03011208368621,0.206228367076191,0.281524603176016,0.168514302230181
4.18,2,2.03340590304005,0.238285346373757,0.27048962319664,0.159063874237586
4.2,2,2.03647871399572,0.267988379881342,0.260098947453407,0.147434679370478
4.22,2,2.03935558961776,0.295391374998996,0.260098947453407,0.13903648776637
4.24,2,2.04203453543867,0.320534478849325,0.25033905316989,0.127727546159212
4.26,2,2.04451952623818,0.343474273308713,0.241192838135629,0.119985506085691
4.28,2,2.04682689647266,0.364253372962255,0.241192838135629,0.10939280375882
4.3,2,2.04894248855458,0.382929594103387,0.232640398950611,0.101848973239503
4.32,2,2.05089985200554,0.399549643644023,0.224659460053832,0.0922761982669192
4.34,2,2.05267034562418,0.414170676806702,0.224659460053832,0.0848032284812965
4.36,2,2.0542984483702,0.426843834852804,0.217227153591355,0.0763403348501268
4.38,2,2.05574871435584,0.437624855219151,0.210321079195444,0.0687481921955161
