time,vel_sp,vel,theta,acc_sp,acc
0,0,0,-5,0,0
0.02,0,-0.00384949964489273,-4.99214375284043,0,-0.213669939756022
0.04,0,-0.00811499557343503,-4.96799443113349,0,-0.212595142974493
0.06,0,-0.0123460586888735,-4.92761870454791,0,-0.209866830351147
0.08,0,-0.0165000373687491,-4.87116743871221,0,-0.204545008893128
0.1,0,-0.0205232251436071,-4.79887071878238,0,-0.196584876434545
0.12,0,-0.0243672177524587,-4.71103891000179,0,-0.186516686544903
0.14,0,-0.0279957735067817,-4.60805451509389,0,-0.175007911894941
0.16,0,-0.0313862037061515,-4.49036126696159,0,-0.162710835616991
0.18,0,-0.0345274972921407,-4.35845318972077,0,-0.150127271214714
0.2,0,-0.0374175838522698,-4.2128657505795,0,-0.137634441535004
0.22,0,-0.040060651786652,-4.05416864499351,0,-0.125474601947921
0.24,0,-0.0424650746113902,-3.88296073700597,0,-0.113827304600523
0.26,0,-0.0446414773747755,-3.69986581470509,0,-0.102704036435252
0.28,0,-0.046600011955489,-3.50553020475662,0,-0.0920766309347188
0.3,0,-0.0483500408628787,-3.30062227240822,0,-0.081870322434617
0.32,0,-0.0498993176374571,-3.08583121633029,0,-0.0720239387505487
0.34,0,-0.0512540613917381,-2.86186675297806,0,-0.0623999749443569
0.36,0,-0.052416989612746,-2.62945902241453,0,-0.052832277041138
0.38,0,-0.0533883647169699,-2.38935898999933,0,-0.0432360040473085
0.4,0,-0.0541669822250427,-2.14233837922991,0,-0.0335265548230233
0.42,0,-0.0547496984923454,-1.88918902114014,0,-0.0236337665296873
0.44,0,-0.0551326769915581,-1.63072151145443,0,-0.0135227234864243
0.46,0,-0.0553113303812328,-1.36776374194531,0,-0.00320965389301942
0.48,0,-0.055282190682688,-1.1011587463866,0,0.00727942205931434
0.5,0,-0.0550411563588165,-0.83176220923907,0,0.0179765345330844
0.52,0,-0.0545853433215866,-0.560440318834809,0,0.0287355365218116
0.54,0,-0.0539140640931719,-0.288065814874043,0,0.0395107548529795
0.56,0,-0.0530276189449811,-0.0155146685806928,0,0.0502264433097189
0.58,0,-0.0519273387442847,0.256337156394183,0,0.0608714123698012
0.6,0,-0.0506154701088809,0.526616470887798,0,0.071333321650856
0.62,0,-0.0490967522433462,0.794456655614633,0,0.0815101214764609
0.64,0,-0.0473773847499682,1.05900153120153,0,0.0913525189950507
0.66,0,-0.0454642398676024,1.31940836602686,0,0.100839692473064
0.68,0,-0.0433648585690879,1.57485053470707,0,0.10991535667975
0.7,0,-0.0410879593673707,1.82452044148063,0,0.118531879424351
0.72,0,-0.0386430287113785,2.06763233016143,0,0.12665722111753
0.74,0,-0.0360399779024873,2.30342509637633,0,0.134298486831051
0.76,0,-0.0332884879201071,2.53116434137167,0,0.141436418490088
0.78,0,-0.0303991145826975,2.75014431775902,0,0.148033642265048
0.8,0,-0.0273827281837624,2.95969056740496,0,0.154079317551042
0.82,0,-0.0242504158530181,3.15916179239542,0,0.159572497249346
0.84,0,-0.0210132515886332,3.34795157972419,0,0.164511748199478
0.86,0,-0.0176824373246501,3.52549002562957,0,0.168882867795935
0.88,0,-0.0142693865839551,3.69124547336448,0,0.172685093267472
0.9,0,-0.010785463222488,3.84472590844823,0,0.175914967541883
0.92,0,-0.00724218303344323,3.98548035690228,0,0.178571834910195
0.94,0,-0.00365090778581791,4.11310001849779,0,0.180660288252657
0.96,0,-2.30596601453351e-05,4.22721919498361,0,0.182176607146388
0.98,0,0.00363233008703643,4.32751210653162,0,0.183253495204688
1,0,0.00730121679388889,4.41369819408922,0,0.183578817192802
1.02,0,0.0109714032330373,4.48554887546731,0,0.183330207342833
1.04,0,0.0146314315379153,4.54288178847949,0,0.182509991838536
1.06,0,0.0182699905970357,4.58556119772654,0,0.181123292110226
1.08,0,0.0218754681613066,4.6134981031859,0,0.17914751976188
1.1,0,0.0254362382610124,4.62665094760152,0,0.176595921034013
1.12,2,0.0289410517316478,4.62502499189956,0,0.173667954531522
1.14,2,0.0326654694809241,4.60858425405212,0,0.224018481452922
1.16,2,0.0385107338540195,4.57652043339008,0,0.387853325914607
1.18,2,0.0481463497049291,4.52658088441691,0,0.597180200273763
1.2,2,0.0622336982947503,4.45575471519228,0,0.83169848799534
