T_train,MAE_mean,MAE_1,MAE_2
10,0.0448650873197804,0.0660493798023132,0.0236807948372475
20,0.040560822016367,0.0668289370058645,0.0142927070268695
30,0.0405538407922303,0.067953053273532,0.0131546283109285
40,0.0393286176986756,0.066570519523459,0.0120867158738922
50,0.0393177945118343,0.0665989267806967,0.0120366622429719
60,0.039075678016211,0.0662737905103826,0.0118775655220394
70,0.0392596905136652,0.0666048859155821,0.0119144951117483
80,0.0391695175591823,0.0665597126150821,0.0117793225032825
90,0.0391368674213695,0.0665456678830391,0.0117280669596998
100,0.0390719760747145,0.0664141048265451,0.011729847322884
110,0.0389975199119741,0.0663976277391782,0.0115974120847699
120,0.0390037832697282,0.0664125782311966,0.0115949883082598
130,0.038904853655775,0.0663189764168941,0.0114907308946558
140,0.0388425804914769,0.066219704315685,0.0114654566672688
150,0.0500147875835806,0.0709701836832011,0.0290593914839601
160,0.0518260959525024,0.0740905305979421,0.0295616613070626
170,0.0518963780652317,0.074090439120699,0.0297023170097643
180,0.0584566392542885,0.0827987154609506,0.0341145630476263
190,0.0618971648235282,0.0874851445162708,0.0363091851307856
200,0.0624957417092196,0.0885033223149737,0.0364881611034656
210,0.0637103801833026,0.0903619856819853,0.0370587746846199
220,0.0731315634035657,0.108390739414894,0.0378723873922376
230,0.0812303869422125,0.109570318581322,0.0528904553031028
240,0.0816054933086085,0.110453820161372,0.0527571664558448
250,0.0814284418804804,0.109204092744759,0.0536527910162019
