T_train,MAE_mean,MAE_1,MAE_2
10,0.0569313664002654,0.0966526591290924,0.0172100736714383
20,0.0536325038925141,0.0878977141944331,0.0193672935905951
30,0.0533526898292509,0.0879759879060988,0.018729391752403
40,0.0541076107572573,0.0895495769793926,0.0186656445351219
50,0.0544194431991625,0.0897551203339235,0.0190837660644014
60,0.0539510154714033,0.0883782228793916,0.0195238080634149
70,0.0542063370656944,0.0882853951856214,0.0201272789457673
80,0.0543030143684939,0.0884504096022198,0.020155619134768
90,0.0546571435313188,0.0905278514913858,0.0187864355712518
100,0.0549112431811078,0.0907322236449349,0.0190902627172807
110,0.0549236469394496,0.0907670627172488,0.0190802311616505
120,0.0549373747343752,0.0907752251875641,0.0190995242811863
130,0.0555777375304578,0.0912314523837753,0.0199240226771403
140,0.0555882415684947,0.0912403258057962,0.0199361573311931
150,0.0552945423318705,0.0898661193429254,0.0207229653208155
160,0.055350076342689,0.0899729475001428,0.0207272051852353
170,0.0558168269655122,0.0913893338150669,0.0202443201159576
180,0.0563368743289889,0.0918212814444698,0.0208524672135079
190,0.056350516193095,0.0919015994455844,0.0207994329406056
200,0.0564964600188651,0.092010888941907,0.0209820310958232
210,0.0565810427779822,0.0885355536376579,0.0246265319183064
220,0.0563520570542968,0.091847793142739,0.0208563209658546
230,0.0562473842725623,0.0919215839491622,0.0205731845959625
240,0.056363539125969,0.092029215946419,0.0206978623055191
250,0.0564941796861814,0.0886013283410402,0.0243870310313227
