T_train,MAE_mean,MAE_1,MAE_2
10,0.0835473343400533,0.111858651055332,0.0552360176247742
20,0.0824268585246059,0.107854514460098,0.0569992025891136
30,0.0807067982160066,0.105958551606883,0.0554550448251303
40,0.0720456663119731,0.0911944196307874,0.0528969129931588
50,0.0702262663704347,0.0890064298142877,0.0514461029265817
60,0.0704182658907631,0.0883583496641963,0.0524781821173299
70,0.0694687544068848,0.0883692684156526,0.050568240398117
80,0.0695509954753875,0.0886330218703836,0.0504689690803914
90,0.0699291173699469,0.088717124850959,0.0511411098889348
100,0.0702653378371773,0.0886467717141238,0.0518839039602308
110,0.0702472486457924,0.0886983818143002,0.0517961154772846
120,0.0702046919778777,0.0888173491166524,0.0515920348391029
130,0.0712593042856678,0.0882466207765333,0.0542719877948022
140,0.0707789020063358,0.0876971918798881,0.0538606121327835
150,0.0706370409230307,0.0884641068620765,0.0528099749839848
160,0.0710308021984916,0.0894244175631875,0.0526371868337956
170,0.0724228150987302,0.0905513575140116,0.0542942726834489
180,0.0726077070709399,0.0902568435750987,0.0549585705667811
190,0.0716007768104254,0.0887490939296719,0.0544524596911789
200,0.0715297732928231,0.088490168217136,0.0545693783685102
210,0.0716688480516288,0.0883405678300934,0.0549971282731642
220,0.0722512448926258,0.089411755022497,0.0550907347627546
230,0.0713813983106176,0.0889832829200511,0.053779513701184
240,0.0715528565647967,0.089037760843229,0.0540679522863643
250,0.0722335981356981,0.0895029110152239,0.0549642852561723
