T_train,MAE_mean,MAE_1,MAE_2
10,0.0349382228919879,0.0422477165405423,0.0276287292434335
20,0.029073974630864,0.0375254366351375,0.0206225126265906
30,0.0310682158277572,0.0373089440655618,0.0248274875899526
40,0.0310526023013905,0.0383713226002688,0.0237338820025122
50,0.0235149167141424,0.0286617020718047,0.0183681313564802
60,0.0222191120436154,0.0258385007314505,0.0185997233557803
70,0.0191861539357925,0.023420061265838,0.0149522466057471
80,0.0191427793177879,0.0232892908623406,0.0149962677732353
90,0.019228723295292,0.0247212197655561,0.013736226825028
100,0.0195298073845663,0.0253696698131819,0.0136899449559506
110,0.0187184116262168,0.0241765823727452,0.0132602408796884
120,0.0182312617271395,0.0234685552288282,0.0129939682254508
130,0.0181346190755773,0.0233192495214081,0.0129499886297465
140,0.0182561889722194,0.023580970308589,0.0129314076358499
150,0.018343615212563,0.0236827848963514,0.0130044455287745
160,0.0183354577351262,0.0236648993700074,0.013006016100245
170,0.0183123237047165,0.0236129377333333,0.0130117096760997
180,0.0183364856601925,0.0236129379361321,0.013060033384253
190,0.0184716082127198,0.0239476856771113,0.0129955307483284
200,0.0186494916464939,0.02431495287155,0.0129840304214378
210,0.0185184071777781,0.0240560479960226,0.0129807663595336
220,0.018205526396225,0.0234383625351693,0.0129726902572808
230,0.0178673686387099,0.0227720351582506,0.0129627021191692
240,0.0176365633430193,0.0221217798350337,0.013151346851005
250,0.0177920540072564,0.0223582187717214,0.0132258892427915
