T_train,MAE_mean,MAE_1,MAE_2
5,0.130686583873745,0.202102032487742,0.0592711352597475
10,0.0986302589981487,0.183399394726917,0.0138611232693802
15,0.086054428872533,0.163530611148195,0.00857824659687141
20,0.0839678918425987,0.160431406774301,0.0075043769108965
25,0.0833858419578463,0.15935848078761,0.0074132031280824
30,0.0843968559708841,0.160187012223738,0.00860669971803015
35,0.0842770830964603,0.159955341701386,0.00859882449153446
40,0.0842234838964332,0.159874134921594,0.00857283287127276
45,0.0908085204275222,0.169095576665906,0.0125214641891382
50,0.0903785501630768,0.171413520689529,0.00934357963662423
55,0.0914017944339783,0.173305708871961,0.00949787999599526
60,0.0924104810259067,0.175604906782625,0.00921605526918836
65,0.0936974840446065,0.177855459363419,0.00953950872579428
70,0.0923834911693058,0.174908741912593,0.0098582404260183
75,0.0926192579521293,0.176211891270258,0.00902662463400111
80,0.092326393396363,0.175520060805283,0.00913272598744254
85,0.0914914109323306,0.173900629018434,0.00908219284622688
90,0.0912001907635851,0.173238585404942,0.00916179612222869
95,0.0906932592584331,0.172172558869946,0.00921395964692042
100,0.0928860847501261,0.176895326767487,0.00887684273276469
105,0.0932848566379155,0.176549212824382,0.010020500451449
110,0.093393314528412,0.177228061272667,0.00955856778415696
115,0.0940408083734009,0.171660009119314,0.0164216076274875
120,0.0940312851588919,0.171716189161395,0.0163463811563889
