T_train,MAE_mean,MAE_1,MAE_2
5,0.15342377634399,0.25166511476706,0.0551824379209193
10,0.107352037103827,0.190876470805374,0.0238276034022795
15,0.0860272564648603,0.163575006233072,0.00847950669664879
20,0.0840087868242518,0.160566475843117,0.00745109780538624
25,0.0834620964042381,0.159420091345398,0.00750410146307872
30,0.0851824206035235,0.163294467225537,0.00707037398150965
35,0.084892779525427,0.162732603451947,0.00705295559890729
40,0.0843957006597622,0.161611933352274,0.00717946796725041
45,0.0903093226504176,0.168340704344052,0.0122779409567833
50,0.089633024231028,0.169981443585907,0.00928460487614897
55,0.0908528367165626,0.172422636976405,0.00928303645672039
60,0.090855553916294,0.168706511622453,0.0130045962101353
65,0.0929670036022655,0.176639144713708,0.00929486249082267
70,0.0921014958067539,0.173567783972029,0.0106352076414793
75,0.092033385628188,0.171742413236896,0.0123243580194805
80,0.0917822011618862,0.17381146967857,0.00975293264520193
85,0.0908840686232239,0.172201723615885,0.00956641363056259
90,0.0905985801453154,0.171472084173885,0.00972507611674569
95,0.0901398496608435,0.170442345633142,0.00983735368854522
100,0.0923110351574293,0.175105788226944,0.00951628208791438
105,0.0917337238286509,0.173337414934034,0.0101300327232679
110,0.0920839444522029,0.17444071830433,0.00972717060007604
115,0.0932083982326219,0.175063090979185,0.0113537054860585
120,0.0932040062906052,0.175118581660159,0.0112894309210517
