T_train,MAE_mean,MAE_1,MAE_2
5,0.15342377634399,0.25166511476706,0.0551824379209193
10,0.107030987582847,0.193202896201159,0.0208590789645362
15,0.0860272564648603,0.163575006233072,0.00847950669664879
20,0.0837721243818023,0.15971697846259,0.00782727030101428
25,0.0831000787707584,0.158956812396832,0.00724334514468435
30,0.0851824206035235,0.163294467225537,0.00707037398150965
35,0.084892779525427,0.162732603451947,0.00705295559890729
40,0.0843957006597622,0.161611933352274,0.00717946796725041
45,0.0899361747933179,0.168823895085324,0.0110484545013116
50,0.089633024231028,0.169981443585907,0.00928460487614897
55,0.0908027421887409,0.172266623709475,0.00933886066800725
60,0.0918041976817487,0.171711965879688,0.0118964294838094
65,0.0924431824686937,0.172808293443032,0.0120780714943552
70,0.0921014958067539,0.173567783972029,0.0106352076414793
75,0.0919435381354605,0.174716738672734,0.00917033759818708
80,0.091730860045304,0.174733529967514,0.00872819012309354
85,0.0908840686232239,0.172201723615885,0.00956641363056259
90,0.0905963427986321,0.172412921204122,0.00877976439314183
95,0.090102149285242,0.171366038763944,0.00883825980653993
100,0.0922953913517336,0.17641446357607,0.00817631912739739
