T_train,MAE_mean,MAE_1,MAE_2
5,0.18002597883316,0.206072456530572,0.153979501135749
10,0.143629869624488,0.194131639652042,0.0931280995969338
15,0.0908786066158334,0.161915701955711,0.0198415112759557
20,0.0888585543498338,0.162388593063642,0.0153285156360254
25,0.0875584053183348,0.160119278234928,0.0149975324017413
30,0.0886420812129383,0.162016505780302,0.0152676566455744
35,0.0883079610895568,0.161359285664072,0.0152566365150412
40,0.0881458690855954,0.162206421723609,0.0140853164475819
45,0.0960008866171796,0.166990241610897,0.0250115316234619
50,0.0954046585888236,0.166746789625845,0.0240625275518023
55,0.0963526054583062,0.168168489064007,0.0245367218526053
60,0.0972450450030963,0.17159176787281,0.022898322133383
65,0.0970637534166919,0.173258987452358,0.0208685193810262
70,0.0968400681051271,0.171038867861882,0.0226412683483723
75,0.0964544983604649,0.17066019532911,0.0222488013918201
80,0.096502966323793,0.170190323833969,0.0228156088136169
85,0.0955948639946518,0.168879057851838,0.0223106701374652
90,0.0954459484849326,0.168379074075291,0.0225128228945743
95,0.0951688075955844,0.167529738313752,0.022807876877417
100,0.0963506586346813,0.172958300762725,0.0197430165066373
