T_train,MAE_mean,MAE_1,MAE_2
5,0.128704960312239,0.173017714520814,0.0843922061036639
10,0.140078963311512,0.185006528628361,0.0951513979946642
15,0.126168361169481,0.234275627645089,0.0180610946938722
20,0.136363092546365,0.255728822661802,0.0169973624309277
25,0.141561865207997,0.268584837892914,0.0145388925230802
30,0.142925427739646,0.270990506500095,0.014860348979196
35,0.135970714638243,0.257849711739555,0.0140917175369297
45,0.108624634803525,0.176233218038323,0.0410160515687277
50,0.0995326710256044,0.187259664970273,0.0118056770809353
55,0.0900662346220938,0.170777259944898,0.00935520929928919
60,0.0839116718196047,0.158446202497896,0.00937714114131371
65,0.0811617830622045,0.152497364673443,0.0098262014509664
70,0.0816777843981486,0.154642241341335,0.00871332745496264
75,0.0818454439022357,0.155090618700477,0.00860026910399409
80,0.0824945328616879,0.156398287528924,0.00859077819445131
85,0.085392249230992,0.159016346575511,0.0117681518864726
90,0.088799083419736,0.16556830850486,0.0120298583346125
95,0.0931358200860942,0.174132121691893,0.0121395184802959
100,0.0863132646277481,0.163090196211944,0.00953633304355219
105,0.0783315567276103,0.147932520220666,0.00873059323455425
110,0.0747560185618083,0.140174742253093,0.00933729487052349
115,0.0738390964828305,0.138379402007728,0.00929879095793282
120,0.0732281221416662,0.137135225136726,0.00932101914660692
