q,MAE_mean,MAE_1,MAE_2
6,0.0888892808756726,0.16565889327697,0.0121196684743757
7,0.0886782931339485,0.168380183292359,0.00897640297553797
8,0.0884391084540301,0.16789273874841,0.00898547815965038
9,0.0883601645674794,0.166121402074537,0.0105989270604216
10,0.0880207618702661,0.165401217079161,0.0106403066613715
11,0.0871039756459746,0.164850691131601,0.00935726016034849
12,0.0880050258567691,0.167386263574361,0.00862378813917735
13,0.0888605801046256,0.161567108979674,0.016154051229577
14,0.0891977648429677,0.16972167611313,0.00867385357280543
15,0.0884799288211737,0.168384988790185,0.00857486885216235
16,0.0904051105434693,0.171144495971876,0.00966572511506293
17,0.0917915471968857,0.172625079618892,0.0109580147748797
18,0.0902316086036147,0.170793066325953,0.00967015088127648
19,0.0903474817155794,0.171192786361911,0.00950217706924786
20,0.0879058578366282,0.167252419091731,0.00855929658152539
21,0.0861296788569691,0.161224326901822,0.0110350308121158
22,0.0840441887207355,0.152994167284631,0.0150942101568397
23,0.082784689566936,0.148443308957648,0.0171260701762242
24,0.0831356887471305,0.147527358801506,0.0187440186927546
25,0.0835504694942377,0.147597904420079,0.0195030345683967
26,0.0835680275722697,0.147390473377987,0.0197455817665529
27,0.0833103086841583,0.147202722859476,0.0194178945088408
28,0.0835647869264431,0.147889198809216,0.0192403750436699
29,0.0833735280313291,0.146913618239744,0.0198334378229142
30,0.0841109454593573,0.14862349194918,0.0195983989695343
