q,MAE_mean,MAE_1,MAE_2
6,0.0874279563204726,0.161060702575727,0.0137952100652181
7,0.104991016889758,0.197907521080247,0.0120745126992691
8,0.0866824335048198,0.163432598594824,0.00993226841481603
9,0.104118470103028,0.197562199094277,0.0106747411117799
10,0.0862505579480829,0.160185503442986,0.0123156124531794
11,0.104308417042844,0.199393047267576,0.00922378681811216
12,0.086200225386757,0.162704426376699,0.00969602439681503
13,0.103812892299612,0.188782604458247,0.0188431801409766
14,0.0883746453229491,0.1647991266328,0.0119501640130985
15,0.103452177265926,0.186816192569786,0.0200881619620656
16,0.0878102628104673,0.164679309660408,0.010941215960527
17,0.104432549945465,0.196608712640321,0.0122563872506097
18,0.0877070619889268,0.1645196064121,0.0108945175657537
19,0.103996728863228,0.195078447798411,0.0129150099280448
20,0.0851736269590307,0.160743638943269,0.00960361497479283
21,0.100979394648069,0.178214378684655,0.0237444106114821
22,0.0830075806202109,0.155699642157689,0.010315519082733
23,0.101882115333868,0.17781987163174,0.0259443590359967
24,0.0840632103128517,0.152832330868705,0.0152940897569986
25,0.100395012053031,0.183919988206055,0.0168700359000061
26,0.0838302420451526,0.155916303098893,0.0117441809914118
27,0.098056997699205,0.170616822277326,0.0254971731210844
28,0.082115766017407,0.151436798126637,0.0127947339081773
29,0.0958560212503935,0.166611899494832,0.0251001430059552
30,0.0821602471716423,0.151109950072572,0.0132105442707126
