q,MAE_mean,MAE_1,MAE_2
1,0.143411776795699,0.215033644153173,0.0717899094382245
2,0.13083606024179,0.196108616817912,0.0655635036656684
3,0.10835746615799,0.181016730577761,0.0356982017382188
4,0.102204583125391,0.172825560329586,0.0315836059211962
5,0.10197694156965,0.174678824209265,0.0292750589300342
6,0.095492775783318,0.174482390517033,0.0165031610496031
7,0.0947803707185355,0.174180877968323,0.0153798634687481
8,0.0946039022839492,0.176649678560419,0.0125581260074788
9,0.0951067101398899,0.175197722650856,0.0150156976289234
10,0.0953893946977327,0.176126076086277,0.0146527133091884
11,0.0939178171569884,0.174093274931333,0.0137423593826435
12,0.0922809307885265,0.170379888557994,0.0141819730190588
13,0.0937828481371686,0.173304388574518,0.0142613076998195
14,0.0940272230760827,0.175323235500875,0.0127312106512903
15,0.0931275386985052,0.172908562770241,0.0133465146267693
16,0.0932746931993704,0.173720670146403,0.0128287162523372
17,0.0930048558927615,0.172463543692478,0.0135461680930455
18,0.0935382314920767,0.173191609865852,0.0138848531183017
19,0.0929484542833559,0.172500314320839,0.0133965942458729
20,0.0939258849610803,0.174412655625728,0.0134391142964325
21,0.0973335159449994,0.180074030300825,0.0145930015891734
22,0.0965604334687962,0.179758688645762,0.0133621782918305
23,0.0942234634046672,0.175734901131429,0.0127120256779049
24,0.0926998911585319,0.173172863531547,0.0122269187855172
25,0.0924641875970631,0.173077779917385,0.0118505952767407
26,0.0912196706306414,0.17067398586006,0.0117653554012227
27,0.0917086147856808,0.170118609021423,0.0132986205499385
28,0.0918464950161372,0.171630220314714,0.0120627697175606
29,0.0908832307984588,0.167808521259476,0.0139579403374412
30,0.0920556340422894,0.172766427071091,0.0113448410134881
31,0.0916495102426017,0.171842486379821,0.0114565341053826
32,0.0920362526902412,0.171743966602607,0.0123285387778754
33,0.0922146330915872,0.172567007514947,0.0118622586682279
34,0.0918286103125203,0.171060086762808,0.0125971338622328
35,0.0916117833274665,0.170551770193773,0.0126717964611602
36,0.0926950497713008,0.171940565525842,0.0134495340167592
37,0.0914600624156145,0.17181508800116,0.0111050368300686
38,0.0915485068254588,0.172247932536398,0.0108490811145196
39,0.092156941461438,0.173483034551236,0.0108308483716402
40,0.0915631471721585,0.171974991164827,0.0111513031794901
41,0.0923385192722349,0.173075583109805,0.0116014554346646
42,0.0917078242034667,0.172269000291277,0.0111466481156559
43,0.0926231755752923,0.172662128928312,0.0125842222222726
44,0.0928412145464776,0.1725907279316,0.0130917011613555
45,0.0922330529760686,0.17318040024016,0.0112857057119777
46,0.0927121506504307,0.17383616936666,0.0115881319342015
47,0.0922559331598044,0.173034458818328,0.0114774075012813
48,0.0929000005541282,0.173649338354555,0.0121506627537018
49,0.0924951596219381,0.173805581143586,0.0111847381002902
50,0.0918382456421532,0.172236930754213,0.0114395605300932
