q,MAE_mean,MAE_1,MAE_2
6,0.107801388390482,0.148201227063949,0.067401549717016
7,0.109650358112198,0.146519461896767,0.0727812543276295
8,0.108252348110153,0.148348768683963,0.0681559275363426
9,0.104485866539773,0.140946161243069,0.0680255718364775
10,0.107461395415381,0.153253250016995,0.061669540813766
11,0.107757509238195,0.15444008345059,0.0610749350258002
12,0.108006308814781,0.155651155190297,0.0603614624392649
13,0.108225155617527,0.156452494430635,0.0599978168044181
14,0.108344214703119,0.157208293443175,0.0594801359630626
15,0.106201311432584,0.149637452241316,0.0627651706238519
16,0.100240207483937,0.143967746344423,0.0565126686234501
17,0.0962996599189493,0.141324375418183,0.0512749444197151
18,0.0937471102976918,0.142108249733647,0.0453859708617363
19,0.0896401143206556,0.138706980189477,0.0405732484518346
20,0.0861511650419902,0.137445136155371,0.034857193928609
21,0.0839625363294978,0.137404713602882,0.0305203590561138
22,0.0822386541440857,0.136958542802225,0.0275187654859462
23,0.0806130232552696,0.136239598749199,0.0249864477613396
24,0.0793585787101788,0.136358346059253,0.0223588113611046
25,0.0779704015168746,0.135281168251471,0.0206596347822782
26,0.07743896413061,0.134846103238653,0.0200318250225673
27,0.0772374117274778,0.134246921325026,0.0202279021299292
28,0.0769934043206455,0.13784837739057,0.0161384312507213
29,0.0751787286075826,0.137924832255986,0.0124326249591791
30,0.0755755753651571,0.140097272585142,0.0110538781451717
31,0.0748404573950411,0.139567322881808,0.0101135919082743
32,0.0745005833091455,0.139311488051539,0.0096896785667522
33,0.0743119956230494,0.139330838330703,0.0092931529153955
34,0.0742906990728888,0.139397333996006,0.00918406414977115
35,0.0737564365875005,0.138471525803831,0.00904134737116975
36,0.0741223332950091,0.139757257751067,0.00848740883895124
37,0.0737776696189964,0.139178343376177,0.00837699586181615
38,0.0743044570264473,0.140256720137039,0.0083521939158552
39,0.0732281221416662,0.137135225136726,0.00932101914660692
40,0.0733455264698499,0.137173026939977,0.00951802599972284
