q,MAE_mean,MAE_1,MAE_2
6,0.119175097844674,0.165763384909965,0.0725868107793828
7,0.119537055238966,0.167491486389341,0.0715826240885907
8,0.119837890688926,0.172212510404329,0.0674632709735233
9,0.116555182307162,0.162974574536395,0.0701357900779278
10,0.117561305182959,0.167786604246425,0.0673360061194921
11,0.11832729429799,0.169679468511399,0.0669751200845806
12,0.118068117765045,0.169825977301759,0.0663102582283321
13,0.11746512954114,0.169101329622941,0.0658289294593391
14,0.11598756520037,0.167024781603621,0.0649503487971194
15,0.11467254090437,0.165309660972907,0.0640354208358339
16,0.110560539532028,0.161989381701328,0.0591316973627288
17,0.108351757869909,0.162102503427519,0.0546010123122984
18,0.106174496139485,0.16244479222704,0.0499042000519298
19,0.101338544748865,0.157103706632206,0.0455733828655244
20,0.0981265855239715,0.156116921846662,0.0401362492012812
21,0.0964548791541847,0.157285074007016,0.0356246843013534
22,0.0946652195707884,0.158004388363378,0.0313260507781984
23,0.0927153600299857,0.157459567881108,0.0279711521788638
24,0.0911545468571126,0.158239110093722,0.0240699836205035
25,0.0891650384721231,0.15674787172016,0.0215822052240859
26,0.088212950966344,0.156822635398632,0.0196032665340556
27,0.0875729550336079,0.157331117589087,0.0178147924781287
28,0.0865760292249239,0.157858693145731,0.0152933653041163
29,0.0848158130207594,0.154814860859438,0.0148167651820809
30,0.0845968615780998,0.155341137409993,0.0138525857462066
31,0.0841758151979852,0.155179364434144,0.0131722659618269
32,0.0839896005390329,0.156048012534707,0.0119311885433593
33,0.0836995028604128,0.156112629567254,0.011286376153572
34,0.0829130797059601,0.155735520744367,0.0100906386675536
35,0.082638149755772,0.155135157610266,0.0101411419012775
36,0.0826272903647339,0.155375298661913,0.00987928206755512
37,0.0823563230885077,0.15491068764308,0.00980195853393487
38,0.0827263686406734,0.155540200785027,0.00991253649631995
39,0.081923327631915,0.153800853679577,0.0100458015842534
40,0.0818074349441137,0.153487548077354,0.0101273218108735
41,0.08184072120951,0.153374516118491,0.010306926300529
42,0.0820697699218267,0.153611710845023,0.01052782899863
43,0.0818574284808835,0.155394144629508,0.00832071233225901
44,0.0816296708207443,0.154867243025791,0.00839209861569748
45,0.0820300663236971,0.155529046327417,0.008531086319977
46,0.0822905792645013,0.154574017430012,0.0100071410989909
47,0.0823016045221367,0.156034072240201,0.00856913680407277
48,0.0823159939053545,0.15609501191948,0.00853697589122942
49,0.081909596129201,0.154988709595067,0.00883048266333493
50,0.0821219790408965,0.155254291743345,0.00898966633844776
