q,MAE_mean,MAE_1,MAE_2
6,0.117609999012207,0.165416206258338,0.0698037917660761
7,0.119342131162179,0.167545123906081,0.0711391384182779
8,0.119640627925063,0.172462433915198,0.0668188219349279
9,0.116453149951031,0.162766864453838,0.0701394354482244
10,0.117920098429561,0.165200480759237,0.0706397160998841
11,0.120593783380691,0.169099136512503,0.07208843024888
12,0.12103099266751,0.170979212497765,0.0710827728372546
13,0.119251823378398,0.167330887659374,0.0711727590974213
14,0.117941895406455,0.167320488587399,0.0685633022255114
15,0.113992603994394,0.164552265560172,0.0634329424286152
16,0.109399820642545,0.161484319486032,0.0573153217990574
17,0.105959838254565,0.161008917958813,0.0509107585503171
18,0.102703835485469,0.16100317716673,0.0444044938042088
19,0.0977471886111883,0.155705933798561,0.039788443423816
20,0.0943503388345949,0.15495171990433,0.03374895776486
21,0.0931587035866362,0.15652985922935,0.0297875479439228
22,0.0925119079426029,0.157412592635227,0.0276112232499786
23,0.0909351144681147,0.157298795307558,0.0245714336286713
24,0.0890288845649934,0.157780790934737,0.0202769781952497
25,0.0870646159811763,0.156301226377974,0.0178280055843788
26,0.086358343845006,0.156303786825993,0.0164129008640193
27,0.0859216570942537,0.15702521509209,0.0148180990964169
28,0.0855356183081741,0.157761859648076,0.0133093769682722
29,0.0839684538833698,0.155929696353064,0.0120072114136753
30,0.0838820512873865,0.156382434147466,0.0113816684273072
31,0.0833800376500132,0.155808107930158,0.0109519673698685
32,0.0831964320442814,0.155533132624409,0.010859731464154
33,0.0831307819594275,0.155335726360919,0.0109258375579363
34,0.0828410458937664,0.15578358943583,0.00989850235170279
35,0.0825618349688931,0.154254968044926,0.0108687018928601
36,0.0827143636827405,0.154601825036609,0.0108269023288719
37,0.0822329255813581,0.155765345954683,0.00870050520803353
38,0.0827451078551468,0.156272863296917,0.0092173524133762
39,0.0816777843981486,0.154642241341335,0.00871332745496264
40,0.0817727961914145,0.154050565645081,0.00949502673774758
41,0.0818095226269034,0.153921070586467,0.00969797466734018
42,0.0821680236111312,0.15431997110935,0.010016076112912
43,0.0817249843832356,0.155329644024239,0.00812032474223238
44,0.0813685854723008,0.154589039909644,0.00814813103495751
45,0.0817151041630919,0.154933941526737,0.00849626679944689
46,0.0824271780659118,0.155104650865823,0.00974970526600046
47,0.0823041269013111,0.156021740368275,0.00858651343434677
48,0.0821541902085278,0.155817149163788,0.00849123125326714
49,0.0817008341624311,0.154743106373374,0.00865856195148842
50,0.0817709602623954,0.154504203409024,0.00903771711576677
