T_train,MAE_mean,MAE_1,MAE_2,NMAE_mean,NMAE_1,NMAE_2
5,0.15342377634399,0.25166511476706,0.0551824379209193,0.0626445243303008,0.0938171055573026,0.031471943103299
10,0.107030987582847,0.193202896201159,0.0208590789645362,0.0419598498320716,0.072023238197546,0.0118964614665971
15,0.0860272564648603,0.163575006233072,0.00847950669664879,0.0329072340190962,0.0609783904317007,0.00483607760649165
20,0.0837721243818023,0.15971697846259,0.00782727030101428,0.0320021321394059,0.0595401736215507,0.00446409065726104
25,0.0831000787707584,0.158956812396832,0.00724334514468435,0.0316939290371234,0.0592567947348969,0.00413106333934992
30,0.0851824206035235,0.163294467225537,0.00707037398150965,0.0324531115290711,0.0608738095576006,0.00403241350054166
35,0.084892779525427,0.162732603451947,0.00705295559890729,0.0323434171227212,0.0606643548900178,0.00402247935542472
40,0.0843957006597622,0.161611933352274,0.00717946796725041,0.032170608946429,0.0602465853269488,0.00409463256590926
45,0.0899361747933179,0.168823895085324,0.0110484545013116,0.0346181568710099,0.0629351000851863,0.00630121365683355
50,0.089633024231028,0.169981443585907,0.00928460487614897,0.0343309314435731,0.0633666173813655,0.00529524550578074
55,0.0908027421887409,0.172266623709475,0.00933886066800725,0.0347723441773529,0.0642184993955598,0.00532618895914601
60,0.0918041976817487,0.171711965879688,0.0118964294838094,0.0353982831415229,0.0640117309993383,0.0067848352837076
65,0.0924431824686937,0.172808293443032,0.0120780714943552,0.0356544281721989,0.0644204260178386,0.00688843032655907
70,0.0921014958067539,0.173567783972029,0.0106352076414793,0.0353845407859645,0.0647035530741835,0.00606552849774548
75,0.0919435381354605,0.174716738672734,0.00917033759818708,0.0351809713535543,0.065131866726381,0.00523007598072751
80,0.091730860045304,0.174733529967514,0.00872819012309354,0.0350580171728914,0.0651381262775957,0.00497790806818706
85,0.0908840686232239,0.172201723615885,0.00956641363056259,0.0348251368817078,0.0641943055817425,0.00545596818167315
90,0.0905963427986321,0.172412921204122,0.00877976439314183,0.0346401795809476,0.0642730369802019,0.00500732218169325
95,0.090102149285242,0.171366038763944,0.00883825980653993,0.0344617289926676,0.0638827743866471,0.00504068359868804
100,0.0922953913517336,0.17641446357607,0.00817631912739739,0.0352139580016795,0.065764753952769,0.00466316205058993
