T_train,MAE_mean,MAE_1,MAE_2,NMAE_mean,NMAE_1,NMAE_2
5,0.20286991202713,0.324904036457586,0.0808357875966737,0.0918213795641937,0.120445193817925,0.063197565310462
10,0.176426587098288,0.289770530291278,0.0630826439052988,0.0783694875669917,0.107420849750545,0.0493181253834383
15,0.126500708210001,0.234651639828111,0.0183497765918916,0.0506668056726178,0.0869877227348031,0.0143458886104324
20,0.136409238472511,0.256728079502294,0.0160903974427271,0.0538755914179702,0.0951716809409173,0.012579501895023
25,0.141642517711822,0.269429321273819,0.0138557141498239,0.0553562907223029,0.0998801589997899,0.010832422444816
30,0.144029627782677,0.273870327774588,0.0141889277907656,0.0563097071227607,0.101526484772051,0.0110929294734704
35,0.135817924443077,0.258700532213947,0.0129353166722068,0.0530078715128679,0.0959028889977392,0.0101128540279966
40,0.197041984906187,0.347669985110287,0.0464139847020862,0.08258564866612,0.128884759936648,0.0362865373955925
45,0.114792412192442,0.214816354216542,0.014768470168341,0.0455902998168252,0.0796345828785945,0.011546016755056
50,0.0999502829044501,0.188576338604521,0.0113242272043795,0.0393802232804356,0.0699071451999683,0.00885330136090284
55,0.0901248186998031,0.170494910807135,0.00975472659247103,0.035415220505246,0.0632041780737187,0.00762626293677326
60,0.08412403619315,0.158759532750981,0.00948853963531894,0.0331359564493459,0.0588537554076568,0.00741815749103496
65,0.0814302231212785,0.152184024633704,0.0106764216088526,0.032381497095799,0.0564161484198466,0.0083468457717514
70,0.0818074349441137,0.153487548077354,0.0101273218108735,0.0324084681119031,0.056899377669715,0.00791755855409121
75,0.0819512029401608,0.153899400828434,0.0100030050518876,0.0324362115564913,0.0570520556264715,0.00782036748651114
80,0.0824689856602796,0.155028049019701,0.00990992230085814,0.0326090260422875,0.0574704568615917,0.00774759522298335
85,0.0852778303187988,0.160640433485417,0.00991522715218065,0.0336513833955839,0.0595510242258021,0.00775174256536578
90,0.0886816080210566,0.167304037297422,0.0100591787446908,0.0349427866775035,0.062021289173611,0.007864284181396
95,0.0928914084538893,0.175657269849727,0.0101255470580515,0.0365170437684336,0.06511791648775,0.00791617104911708
100,0.0866797430650296,0.163575735760341,0.00978375036971781,0.0341440620386938,0.0606391702989383,0.00764895377844924
105,0.0785599624737133,0.148319620312336,0.00880030463509058,0.03093183449713,0.0549835748742767,0.00688009411998336
110,0.0750712349924713,0.141093183141938,0.00904928684300403,0.0296897054008835,0.0523046619401948,0.0070747488615721
115,0.0742057136369484,0.139321989436979,0.00908943783691825,0.0293771008012975,0.051648062621181,0.007106138981414
120,0.0736424005966161,0.138217590372516,0.00906721082071674,0.0291637063205415,0.0512386507812363,0.00708876185984675
