T_train,MAE_mean,MAE_1,MAE_2,NMAE_mean,NMAE_1,NMAE_2
0.005,0.0877223881751208,0.15725168202187,0.0181930943283717,0.0356154246765902,0.0598661741213217,0.0113646752318588
0.01,0.107034211604819,0.186616879659026,0.0274515435506134,0.0440968693477371,0.0710455905335958,0.0171481481618785
0.015,0.105920262068626,0.183999298383603,0.027841225753649,0.0437203202709282,0.0700490697053519,0.0173915708365045
0.02,0.101058719352719,0.183185463580468,0.0189319751249696,0.0407827360586897,0.0697392404214674,0.0118262316959121
0.025,0.0991673907727687,0.180263581672366,0.0180711998731709,0.0399577014553106,0.0686268714545774,0.0112885314560437
0.03,0.106099804652948,0.186282182584738,0.0259174267211586,0.0435540011023909,0.0709181703809488,0.0161898318238329
0.035,0.106508437352024,0.185401762477893,0.0276151122261548,0.0439166582195686,0.0705829918776819,0.0172503245614552
0.04,0.106894109329007,0.187173254254124,0.0266149644038906,0.0439414832307328,0.0712574039651506,0.0166255624963151
0.045,0.117119053134304,0.202722605104763,0.031515501163845,0.0484319333226735,0.0771770871986082,0.0196867794467387
0.05,0.0992527180164626,0.175165010742207,0.023340425290718,0.0406329438377098,0.0666858306265858,0.0145800570488338
NaN,NaN,NaN,NaN,NaN,NaN,NaN
