q,MAE_mean,MAE_1,MAE_2,NMAE_mean,NMAE_1,NMAE_2
6,0.0874279563204726,0.161060702575727,0.0137952100652181,0.0346143058607152,0.0598462130978419,0.00938239862358849
7,0.104991016889758,0.197907521080247,0.0120745126992691,0.0408748532266656,0.0735375885664308,0.00821211788690027
8,0.0866824335048198,0.163432598594824,0.00993226841481603,0.0337413431129183,0.0607275515766559,0.00675513464918072
9,0.104118470103028,0.197562199094277,0.0106747411117799,0.0403346902857111,0.073409275372528,0.00726010519889418
10,0.0862505579480829,0.160185503442986,0.0123156124531794,0.0339485525946502,0.0595210105315832,0.00837609465771719
11,0.104308417042844,0.199393047267576,0.00922378681811216,0.0401814279241095,0.0740895737207705,0.00627328212744842
12,0.086200225386757,0.162704426376699,0.00969602439681503,0.0335257204865685,0.060456980611542,0.00659446036159505
13,0.103812892299612,0.188782604458247,0.0188431801409766,0.0414813085787279,0.0701469929963942,0.0128156241610616
14,0.0883746453229491,0.1647991266328,0.0119501640130985,0.0346814328939689,0.0612353199326671,0.00812754585527071
15,0.103452177265926,0.186816192569786,0.0200881619620656,0.0415393418601948,0.0694163224912184,0.0136623612291711
16,0.0878102628104673,0.164679309660408,0.010941215960527,0.0343160694798055,0.0611907988797483,0.00744134007986271
17,0.104432549945465,0.196608712640321,0.0122563872506097,0.0406953987830973,0.0730549831547691,0.00833581441142556
18,0.0877070619889268,0.1645196064121,0.0108945175657537,0.0342705183149134,0.0611314570634157,0.00740957956641106
19,0.103996728863228,0.195078447798411,0.0129150099280448,0.0406350655478158,0.0724863742119264,0.00878375688370524
20,0.0851736269590307,0.160743638943269,0.00960361497479283,0.0331300054396223,0.0597284000161267,0.00653161086311777
21,0.100979394648069,0.178214378684655,0.0237444106114821,0.0411845741215754,0.0662200990887067,0.0161490491544441
22,0.0830075806202109,0.155699642157689,0.010315519082733,0.0324349827144619,0.0578541743256438,0.00701579110327993
23,0.101882115333868,0.17781987163174,0.0259443590359967,0.0418593940308656,0.066073509928348,0.0176452781333832
24,0.0840632103128517,0.152832330868705,0.0152940897569986,0.0335952841910332,0.0567887516640377,0.0104018167180286
25,0.100395012053031,0.183919988206055,0.0168700359000061,0.0399069065599058,0.0683401638705565,0.0114736492492551
26,0.0838302420451526,0.155916303098893,0.0117441809914118,0.0329610664515891,0.0579346802259033,0.00798745267727492
27,0.098056997699205,0.170616822277326,0.0254971731210844,0.0403690856053073,0.0633970331731578,0.0173411380374567
28,0.082115766017407,0.151436798126637,0.0127947339081773,0.0324860803121129,0.0562702058702396,0.00870195475398626
29,0.0958560212503935,0.166611899494832,0.0251001430059552,0.0394900059216143,0.0619089019378626,0.0170711099053659
30,0.0821602471716423,0.151109950072572,0.0132105442707126,0.0325667564227382,0.0561487571370516,0.00898475570842489
