time,theta
-8,0.000222442407318466
-7.988,0.000167869409588388
-7.968,0.000117935904333679
-7.948,7.23491637187863e-05
-7.928,3.02479177945253e-05
-7.908,-4.33338037644894e-06
-7.888,-3.06356386152072e-05
-7.868,-5.7989728335866e-05
-7.848,-8.56215982838664e-05
-7.828,-0.00011487039951612
-7.804,-0.000140336475646796
-7.788,-0.000163498338254184
-7.768,-0.000180465566553645
-7.748,-0.000190951798136294
-7.728,-0.000198323838266903
-7.708,-0.000202901864734925
-7.688,-0.000203279614680082
-7.668,-0.000198750796562117
-7.648,-0.000189150703759404
-7.628,-0.000174299089337911
-7.604,-0.000157830174196593
-7.588,-0.000138550419835678
-7.568,-0.000114812762321963
-7.548,-8.39108124381232e-05
-7.528,-4.8095328659424e-05
-7.508,-3.55563058352149e-06
-7.484,3.94027197860425e-05
-7.468,7.89979820630443e-05
-7.444,0.000115969761040468
-7.428,0.0001530056622768
-7.408,0.000192889399175328
-7.388,0.000231422912734766
-7.368,0.000270585475475237
-7.348,0.000305838410248269
-7.328,0.000347015977063069
-7.308,0.000389890180955363
-7.288,0.000433012074191128
-7.264,0.000473849418078224
-7.248,0.000517046913827126
-7.224,0.000559287145371445
-7.204,0.000600536316274407
-7.188,0.000641374830385021
-7.168,0.000671242428519982
-7.148,0.000698419656782037
-7.128,0.000728085406268756
-7.108,0.000761303491293659
-7.084,0.000793457113776261
-7.068,0.000828769240678478
-7.048,0.000859547252693982
-7.028,0.000884356033833779
-7.008,0.000905785501136661
-6.988,0.000923370226138107
-6.968,0.000939287666329804
-6.948,0.000952261986005886
-6.924,0.000962339216165776
-6.908,0.000966548917964106
-6.888,0.000964545823497443
-6.864,0.000959118114791932
-6.844,0.0009479056669287
-6.828,0.000928774214987536
-6.808,0.000905701530559225
-6.788,0.000877999995137143
-6.764,0.000845433731176356
-6.748,0.000803362031383622
-6.728,0.000759857271435332
-6.708,0.000710399972723005
-6.684,0.00065946186936425
-6.668,0.000602440415099536
-6.648,0.000534558995392204
-6.628,0.000463006109626507
-6.608,0.00038419067230134
-6.588,0.000315420412325926
-6.568,0.00024816483305025
-6.548,0.000178399368157226
-6.528,0.00010762982691352
-6.508,3.09322552525662e-05
-6.488,-5.45508960687642e-05
-6.468,-0.000151810277831782
-6.448,-0.000239506650758155
-6.424,-0.000325349598348322
-6.408,-0.000402597140447652
-6.388,-0.000468127313824726
-6.368,-0.000537240969230322
-6.348,-0.000607879679278931
-6.328,-0.000684849947323782
-6.308,-0.000755964139606629
-6.288,-0.000826098207089697
-6.268,-0.000884545024381874
-6.248,-0.000926769458195768
-6.228,-0.000960660971383719
-6.208,-0.000988298131917691
-6.188,-0.00101507182533985
-6.168,-0.00103457276548895
-6.148,-0.00104851240288458
